term,freq,flag,category
hotlines,1,1,T01
shot,1,1,T01
@breakingnews,1,1,T01
#coloradowildfires,1,1,T01
#spencerfire,1,1,T01
monitoring,1,1,T01
#storm,1,1,T01
terrorize,1,1,T01
shockwave,1,1,T01
surge,1,1,T01
fiamme,1,1,T01
detonate,1,1,T01
radiation,1,1,T01
devastate,1,1,T01
evacuat,1,1,T01
flood-affected,1,1,T01
floods/bushfires,1,1,T01
virus,1,1,T01
#cebuearthquake,1,1,T01
subside,1,1,T01
flood-triggered,1,1,T01
resume,1,1,T01
siren,1,1,T01
#abflood,1,1,T01
inundates,1,1,T01
bombing,1,1,T01
firefighting,1,1,T01
batter,1,1,T01
thunder,1,1,T01
mud,1,1,T01
@cbcalerts,1,1,T01
crime,1,1,T01
grassfire,1,1,T01
burning,1,1,T01
#earhquake,1,1,T01
assault,1,1,T01
lightening,1,1,T01
detector,1,1,T01
protection,1,1,T01
flush,1,1,T01
warn,1,1,T01
protect,1,1,T01
blazes,1,1,T01
#woodlandheightsfire,1,1,T01
smog,1,1,T01
#lastchancefire,1,1,T01
wreck,1,1,T01
swamp,1,1,T01
ridge,1,1,T01
bush-fires,1,1,T01
inferno-like,1,1,T01
mass,1,1,T01
#rain,1,1,T01
sewage,1,1,T01
valve,1,1,T01
gunship,1,1,T01
#breakingnews,1,1,T01
halt,1,1,T01
panic,1,1,T01
#wildfires,1,1,T01
protest,1,1,T01
murder,1,1,T01
gannon,1,1,T01
raging,1,1,T01
precaution,1,1,T01
cut,1,1,T01
victim,86,1,T02
injure,13,1,T02
survivor,8,1,T02
hurt,4,1,T02
wound,4,1,T02
injury,4,1,T02
survive,1,1,T02
bloody,1,1,T02
aid,1,1,T02
injuried,1,1,T02
recover,1,1,T02
suffer,1,1,T02
hospitalize,1,1,T02
treat,1,1,T02
suffering,1,1,T02
brain,1,1,T02
patient,1,1,T02
victim,87,1,T03
toll,71,1,T03
death,49,1,T03
flood,17,1,T03
body,10,1,T03
fatality,9,1,T03
die,8,1,T03
survivor,5,1,T03
recover,3,1,T03
dead,2,1,T03
murder,2,1,T03
kiling,1,1,T03
#victim,1,1,T03
funeral,1,1,T03
collapse,53,1,T04
building,46,1,T04
destroy,33,1,T04
damage,24,1,T04
burn,16,1,T04
destruction,10,1,T04
devastate,10,1,T04
devastation,6,1,T04
close,5,1,T04
debris,4,1,T04
ruin,3,1,T04
crumble,3,1,T04
cleanup,3,1,T04
inundate,3,1,T04
street,3,1,T04
clean-up,3,1,T04
construction,3,1,T04
road,3,1,T04
havoc,3,1,T04
resume,3,1,T04
submerge,2,1,T04
blast,2,1,T04
shut,2,1,T04
devasting,2,1,T04
rubble,2,1,T04
hamper,2,1,T04
crack,2,1,T04
flatten,2,1,T04
ravage,2,1,T04
flood-hit,2,1,T04
rattle,2,1,T04
closure,2,1,T04
aftershock,2,1,T04
rebuild,2,1,T04
inundates,1,1,T04
strand,1,1,T04
shutdown,1,1,T04
storm-hit,1,1,T04
basement,1,1,T04
bury,1,1,T04
nuke,1,1,T04
chaos,1,1,T04
fracked,1,1,T04
reopen,1,1,T04
outage,1,1,T04
cement,1,1,T04
barricade,1,1,T04
demolish,1,1,T04
repair,1,1,T04
break,1,1,T04
tape,1,1,T04
crumbles,1,1,T04
lanslide,1,1,T04
re-open,1,1,T04
wreckage,1,1,T04
gash,1,1,T04
wreak,1,1,T04
re-opened,1,1,T04
sink,1,1,T04
tunnel,1,1,T04
break,1,1,T04
devour,1,1,T04
bldg,1,1,T04
wreck,1,1,T04
collap,1,1,T04
barrage,1,1,T04
donate,38,1,T05
donation,21,1,T05
fund,11,1,T05
charity,9,1,T05
money,8,1,T05
fundraiser,4,1,T05
cash,4,1,T05
dollar,3,1,T05
us$,2,1,T05
budget,2,1,T05
payment,2,1,T05
earnings,1,1,T05
charge,1,1,T05
fundraise,1,1,T05
fee,1,1,T05
pay,1,1,T05
funding,1,1,T05
fundraising,1,1,T05
price,1,1,T05
deposit,1,1,T05
relief,49,1,T06
food,16,1,T06
donate,16,1,T06
water,12,1,T06
aid,11,1,T06
donation,9,1,T06
bag,5,1,T06
hospital,5,1,T06
clothes,4,1,T06
rice,3,1,T06
rescue,3,1,T06
resource,3,1,T06
blood,3,1,T06
support,3,1,T06
medicine,2,1,T06
drink,2,1,T06
fuel,2,1,T06
vaccine,1,1,T06
battery,1,1,T06
gasoline,1,1,T06
demand,1,1,T06
tent,1,1,T06
assistance,1,1,T06
volunteers/donations,1,1,T06
donate/distribute,1,1,T06
baby,1,1,T06
rideau,1,1,T06
candle,1,1,T06
tank,1,1,T06
drinking,1,1,T06
charity,1,1,T06
towel,1,1,T06
oil,1,1,T06
shortage,1,1,T06
relief,30,1,T07
aid,20,1,T07
volunteer,11,1,T07
rescue,9,1,T07
assistance,7,1,T07
support,5,1,T07
service,4,1,T07
assist,2,1,T07
offer,2,1,T07
provide,2,1,T07
hospital,2,1,T07
healthcare,1,1,T07
nursery,1,1,T07
donation,1,1,T07
rehab,1,1,T07
doctor,1,1,T07
victim,77,1,T08
search,29,1,T08
strand,13,1,T08
miss,12,1,T08
trap,11,1,T08
survivor,10,1,T08
rescue,10,1,T08
search-and-rescue,2,1,T08
lost,1,1,T08
lose,1,1,T08
bury,1,1,T08
missing,1,1,T08
hostage,1,1,T08
drown,1,1,T08
baloch,1,1,T08
evacuate,19,1,T09
flee,14,1,T09
displace,10,1,T09
return,8,1,T09
evacuee,7,1,T09
evac,5,1,T09
move,2,1,T09
pre-evacuation,2,1,T09
evacs,2,1,T09
evacuated,1,1,T09
evacuation/rescue,1,1,T09
refuge,1,1,T09
rescuer,1,1,T09
#evac,1,1,T09
evacuat,1,1,T09
evacuated/treated,1,1,T09
escape,1,1,T09
exacuated,1,1,T09
pet,6,1,T10
dog,4,1,T10
horse,2,1,T10
snake,2,1,T10
spider,2,1,T10
monkey,2,1,T10
pets/animals,1,1,T10
livestock,1,1,T10
moth,1,1,T10
bulldog,1,1,T10
farm,1,1,T10
pony,1,1,T10
kitty,1,1,T10
cat,1,1,T10
birdie,1,1,T10
cats,1,1,T10
wildfire,1,1,T10
dolphin,1,1,T10
creature,1,1,T10
chicken,1,1,T10
bears,1,1,T10
wilderness,1,1,T10
prayer,18,1,T11
thought,10,1,T11
pray,9,1,T11
god,8,1,T11
tragedy,3,1,T11
hope,3,1,T11
remain,2,1,T11
goodness,2,1,T11
rip,2,1,T11
pls,2,1,T11
lord,2,1,T11
faith,2,1,T11
#prayforearthquakeinitaly,1,1,T11
#savethemountains,1,1,T11
blessing,1,1,T11
#prayforeverybody,1,1,T11
soul,1,1,T11
#prayforhumanity,1,1,T11
#prayforrain,1,1,T11
#prayforsantamaria,1,1,T11
#prayforphilippines,1,1,T11
#prayforleyte,1,1,T11
#prayforthephilippines,1,1,T11
#letsprayforthephil,1,1,T11
#prayfornuevaecija,1,1,T11
#prayforboholandcebu,1,1,T11
#prayforbostonandtexas,1,1,T11
#prayfornegros,1,1,T11
#prayforitaly,1,1,T11
#pray,1,1,T11
#prayforcebuandbohol,1,1,T11
#prayforusall,1,1,T11
#prayforwaco,1,1,T11
#praying,1,1,T11
#prayforcebu,1,1,T11
fear,1,1,T11
panic,1,1,T11
#prayfortheworld,1,1,T11
#prayfortoronto,1,1,T11
#prayforcolorado,1,1,T11
#rescueph,1,1,T11
#prayforisrael,1,1,T11
#prayforbrazil,1,1,T11
#prayforearthquakevictims,1,1,T11
#prayforguatemala,1,1,T11
#prayforwest,1,1,T11
family,17,1,C01
school,11,1,C01
class,9,1,C01
baby,6,1,C01
kid,5,1,C01
child,5,1,C01
student,2,1,C01
adoption,1,1,C01
milk,1,1,C01
kids,1,1,C01
teacher,1,1,C01
nursery,1,1,C01
college,1,1,C01
food,18,1,C02
rice,3,1,C02
meal,2,1,C02
water,2,1,C02
biscuit,1,1,C02
tissue,1,1,C02
eat,1,1,C02
hospital,13,1,C03
injure,6,1,C03
patient,4,1,C03
injury,3,1,C03
blood,3,1,C03
disease,2,1,C03
surgery,2,1,C03
recover,2,1,C03
trauma,2,1,C03
hurt,2,1,C03
flood,2,1,C03
choke,2,1,C03
doctor,2,1,C03
treat,2,1,C03
relief,2,1,C03
rescue,2,1,C03
wound,1,1,C03
epidemic,1,1,C03
breathe,1,1,C03
headache,1,1,C03
dengue,1,1,C03
painkiller,1,1,C03
smoke,1,1,C03
hospitalize,1,1,C03
virus,1,1,C03
nurse,1,1,C03
@redcross,1,1,C03
head,1,1,C03
vaccine,1,1,C03
allergy,1,1,C03
healthcare,1,1,C03
carcinogen,1,1,C03
doctor,1,1,C03
medicine,1,1,C03
road,17,1,C04
strand,14,1,C04
helicopter,10,1,C04
train,9,1,C04
crash,7,1,C04
rail,6,1,C04
passenger,6,1,C04
car,5,1,C04
bridge,4,1,C04
flight,4,1,C04
vehicle,4,1,C04
oil,4,1,C04
terminal,4,1,C04
truck,4,1,C04
boat,4,1,C04
aircraft,4,1,C04
roads,3,1,C04
street,3,1,C04
traffic,3,1,C04
plane,3,1,C04
ship,3,1,C04
travel,2,1,C04
airline,2,1,C04
drive,2,1,C04
land,2,1,C04
cruise,2,1,C04
delay,2,1,C04
suspend,2,1,C04
fly,2,1,C04
shipment,2,1,C04
bus,2,1,C04
vessel,2,1,C04
river,2,1,C04
cargo,1,1,C04
ferry,1,1,C04
cruiser,1,1,C04
navy,1,1,C04
taxi,1,1,C04
wagon,1,1,C04
lane,1,1,C04
launch,1,1,C04
waterway,1,1,C04
helicopter,1,1,C04
motorist,1,1,C04
commuter,1,1,C04
fleet,1,1,C04
airways,1,1,C04
tourist,1,1,C04
airstrip,1,1,C04
amtrak,1,1,C04
copters,1,1,C04
highway,1,1,C04
firetrucks,1,1,C04
walkway,1,1,C04
bike,1,1,C04
costa,1,1,C04
tsa,1,1,C04
cyclist,1,1,C04
rocket,1,1,C04
shelter,10,1,C05
camp,6,1,C05
housing,4,1,C05
#shelter,2,1,C05
tent,2,1,C05
shelt,1,1,C05
water,20,1,C06
river,6,1,C06
pollution,2,1,C06
flush,2,1,C06
filtration,1,1,C06
sewage,1,1,C06
sanitation,1,1,C06
purification,1,1,C06
disposal,1,1,C06
torrent,1,1,C06
pond,1,1,C06
pollute,1,1,C06
police,47,1,C07
army,29,1,C07
safety,23,1,C07
suspect,12,1,C07
shooter,9,1,C07
official,5,1,C07
helicopter,5,1,C07
fire,5,1,C07
shot,5,1,C07
rescue,5,1,C07
arrest,4,1,C07
rifle,4,1,C07
investigator,4,1,C07
shoot,4,1,C07
investigation,4,1,C07
shooting,3,1,C07
probe,3,1,C07
officials,3,1,C07
assault,3,1,C07
bomb,3,1,C07
helpline,3,1,C07
officer,3,1,C07
gun,3,1,C07
chopper,3,1,C07
military,3,1,C07
aid,3,1,C07
kill,2,1,C07
troop,2,1,C07
threat,2,1,C07
law,2,1,C07
personnel,2,1,C07
murder,2,1,C07
earthquake,2,1,C07
sheriff,2,1,C07
crash,2,1,C07
protect,2,1,C07
investigators,2,1,C07
fight,2,1,C07
custody,2,1,C07
tsa,2,1,C07
security,2,1,C07
victim,2,1,C07
killer,2,1,C07
chief,2,1,C07
criminal,1,1,C07
firearm,1,1,C07
disaster,1,1,C07
bombing,1,1,C07
trooper,1,1,C07
wreak,1,1,C07
fatality,1,1,C07
safeness,1,1,C07
threaten,1,1,C07
spokesperson,1,1,C07
havoc,1,1,C07
rampage,1,1,C07
emergency,1,1,C07
injury,1,1,C07
strand,1,1,C07
death,1,1,C07
radiation,1,1,C07
chase,1,1,C07
alarm,1,1,C07
precaution,1,1,C07
harass,1,1,C07
rebel,1,1,C07
terror,1,1,C07
investigate,1,1,C07
preparedness,1,1,C07
cop,1,1,C07
arson,1,1,C07
rape,1,1,C07
safe,1,1,C07
protest,1,1,C07
recover,1,1,C07
fear,1,1,C07
prosecutor,1,1,C07
gunman,1,1,C07
gunship,1,1,C07
terrorize,1,1,C07
arsonist,1,1,C07
attack,1,1,C07
spill,1,1,C07
steal,1,1,C07
burglar,1,1,C07
revolt,1,1,C07
#keepsafe,1,1,C07
caution,1,1,C07
injure,1,1,C07
gannon,1,1,C07
helpline,7,1,C08
text,6,1,C08
phone,5,1,C08
hotline,5,1,C08
hotlines,3,1,C08
news,2,1,C08
message,2,1,C08
contact,2,1,C08
tweet,2,1,C08
app,2,1,C08
tv,2,1,C08
connection,1,1,C08
communication,1,1,C08
calls,1,1,C08
broadcast,1,1,C08
webpage,1,1,C08
retweet,1,1,C08
stream,1,1,C08
twitter,1,1,C08
mobile,1,1,C08
iphone,1,1,C08
channel,1,1,C08
networking,1,1,C08
wind,1,1,O01
storm,1,1,O01
@weatherchannel,1,1,O01
#climatechange,1,1,O01
#fireseason,1,1,O01
#wind_gusts,1,1,O01
cyclone,1,1,O01
fog,1,1,O01
tornado,1,1,O01
avalanche,1,1,O01
meteorologist,1,1,O01
climate,1,1,O01
weather,1,1,O01
typhoon,1,1,O01
tsunami,1,1,O01
thunderstorm,1,1,O01
flooding,1,1,O01
rainfall,1,1,O01
flood,1,1,O01
mist,1,1,O01
clouds,1,1,O01
downpour,1,1,O01
monsoon,1,1,O01
temperature,1,1,O01
smog,1,1,O01
humidity,1,1,O01
cloud,1,1,O01
thunder,1,1,O01
gust,1,1,O01
windy,1,1,O01
